user_id,usia,jumlah_anggota_keluarga,frekuensi_belanja_per_minggu,penggunaan_plastik_per_hari_gram,sisa_makanan_per_hari_gram,penggunaan_elektronik_jam,kendaraan,wilayah,pendapatan_juta,volume_sampah_kg_minggu,sampah_plastik_per_orang,sampah_makanan_per_orang,total_konsumsi_harian_gram,rasio_belanja_keluarga,segmen_usia,kendaraan_enc,wilayah_enc,segmen_usia_enc
1,56,1,2,158.99227093640295,326.67720203072747,5.530311054597775,transportasi_umum,Makassar,10,15.74,158.99227093640295,326.67720203072747,485.66947296713045,2.0,Gen_X,3,2,0
2,46,5,11,133.25738638119432,175.45756857029036,6.283861069923102,mobil,Surabaya,3,21.14,26.651477276238865,35.091513714058074,308.7149549514847,2.2,Milenial_Senior,0,4,3
3,32,3,8,248.75136768153908,305.1207579715119,6.306566346499076,motor,Surabaya,3,26.39,82.91712256051302,101.70691932383731,553.872125653051,2.6666666666666665,Milenial_Muda,1,4,2
4,60,3,10,147.63676736854953,102.83652082188746,10.37506873139392,motor,Bandung,7,17.3,49.21225578951651,34.27884027396249,250.473288190437,3.3333333333333335,Gen_X,1,0,0
5,25,5,3,72.1023841161666,157.28727189465602,1.3799351934548416,motor,Jakarta,3,11.12,14.42047682323332,31.457454378931203,229.38965601082262,0.6,Gen_Z,1,1,1
6,38,4,13,153.1844196825808,202.88507131757015,3.624132266325645,motor,Makassar,10,19.28,38.2961049206452,50.72126782939254,356.06949100015095,3.25,Milenial_Senior,1,2,3
7,56,3,12,174.9868810056055,205.83974047786865,7.94811210497616,transportasi_umum,Bandung,5,20.59,58.328960335201835,68.61324682595621,380.8266214834741,4.0,Gen_X,3,0,0
8,36,1,5,176.62975546852755,262.4062543773266,4.295973850293052,motor,Medan,15,16.97,176.62975546852755,262.4062543773266,439.03600984585415,5.0,Milenial_Senior,1,3,3
9,40,1,6,95.61095323691193,206.0149670084949,6.771606275203439,motor,Medan,7,10.96,95.61095323691193,206.0149670084949,301.6259202454068,6.0,Milenial_Senior,1,3,3
10,28,2,10,196.47412536723849,298.16400479761217,5.460019047525673,mobil,Bandung,3,19.88,98.23706268361924,149.08200239880608,494.6381301648506,5.0,Milenial_Muda,0,0,2
11,28,3,6,61.856653556448,140.06566074966958,9.210404802416022,motor,Makassar,3,11.07,20.618884518816,46.68855358322319,201.92231430611758,2.0,Milenial_Muda,1,2,2
12,41,4,4,207.2067601308209,218.02742029512535,2.773891145872576,sepeda,Bandung,7,22.26,51.801690032705224,54.50685507378134,425.23418042594625,1.0,Milenial_Senior,2,0,3
13,53,5,3,84.03260554312972,157.8024541108915,7.443601105037626,motor,Makassar,10,13.46,16.806521108625944,31.5604908221783,241.83505965402122,0.6,Gen_X,1,2,0
14,57,5,4,138.6877390495662,228.9341268338924,8.499162610544998,motor,Surabaya,10,18.98,27.73754780991324,45.78682536677848,367.6218658834586,0.8,Gen_X,1,4,0
15,41,4,1,203.228433901335,240.29888369699407,2.971162245664001,motor,Bandung,5,19.63,50.80710847533375,60.07472092424852,443.5273175983291,0.25,Milenial_Senior,1,0,3
16,20,6,4,155.98028344435346,246.59167679872505,6.565740487162692,motor,Makassar,5,20.78,25.996713907392245,41.09861279978751,402.5719602430785,0.6666666666666666,Gen_Z,1,2,1
17,39,2,1,190.8349258856785,114.35245294115184,3.0690040283418885,motor,Bandung,3,16.89,95.41746294283925,57.17622647057592,305.18737882683035,0.5,Milenial_Senior,1,0,3
18,19,5,12,180.9330979854966,128.8203118570745,5.0603231450702495,transportasi_umum,Bandung,7,21.43,36.18661959709932,25.7640623714149,309.7534098425711,2.4,Gen_Z,3,0,1
19,41,3,1,214.31343067023005,143.65698334470488,4.486824139635653,sepeda,Makassar,3,19.85,71.43781022341001,47.88566111490163,357.97041401493493,0.3333333333333333,Milenial_Senior,2,2,3
